id,title,author,category,price,rating,image,description
1,Atomic Thunder: The Maralinga Story,Elizabeth Tynan,History,599,5,atomicthunder.jpg,A powerful story about Australia's nuclear testing.
2,Anne Frank: Life in Hiding,Johanna Hurwitz,Biography,699,4,anne.jpg,The inspiring story of Anne Frank.
3,Harry Potter: Poster Annual 2008,Warner Bros.,Fantasy,899,3,harry.jpg,Magical adventures from Hogwarts.
4,Sapiens,Yuval Noah Harari,History,799,5,sapiens.jpg,A brief history of humankind.
5,Guns Germs and Steel,Jared Diamond,History,749,4,guns_germs_steel.jpg,How civilizations evolved.
6,The Silk Roads,Peter Frankopan,History,699,5,silk_roads.jpg,A new history of the world.
7,1776,David McCullough,History,599,4,1776.jpg,The story of the American Revolution.
8,The Wright Brothers learn to fly,Jennifer Julius,Biography,649,5,wright_brothers.jpg,The story of the Wright Brothers and how they built the first manned aircraft.
9,Steve Jobs,Walter Isaacson,Biography,899,5,steve_jobs.jpg,The biography of Apple's co-founder.
10,Long Walk to Freedom,Nelson Mandela,Biography,799,5,mandela.jpg,Autobiography of Nelson Mandela.
11,Becoming,Michelle Obama,Biography,899,4,becoming.jpg,The memoir of the former First Lady.
12,Einstein,Walter Isaacson,Biography,749,5,einstein.jpg,The fascinating life of Albert Einstein.
13,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,699,5,hp1.jpg,The beginning of Harry Potter's journey.
14,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,749,5,hp2.jpg,The second year at Hogwarts.
15,The Hobbit,J.R.R. Tolkien,Fantasy,799,5,hobbit.jpg,A classic fantasy adventure.
16,The Fellowship of the Ring,J.R.R. Tolkien,Fantasy,899,5,fellowship.jpg,The first part of The Lord of the Rings.
17,The Two Towers,J.R.R. Tolkien,Fantasy,899,5,two_towers.jpg,The second part of The Lord of the Rings.
18,The Return of the King,J.R.R. Tolkien,Fantasy,949,5,return_king.jpg,The epic conclusion of the trilogy.
19,Percy Jackson and the Lightning Thief,Rick Riordan,Fantasy,699,4,percy.jpg,A modern mythological adventure.
20,The Diary of a Young Girl,Anne Frank,Biography,699,5,diary_anne.jpg,Anne Frank's famous diary during World War II.
